id,pali,selected_pali_word,class_source,extra,class_example,english_translation,Class
31688,dakkhati 1,dakkhanti,DN3.15,,cakkhumanto rūpāni <b>dakkhanti</b>,A person with sight sees forms.,
32324,dāra,dārassa,SNP16,yes,"mātāpitu upaṭṭhānaṃ, puttassa ca <b>dārassa</b> saṅgaho","The looking after mother and father, the support of the wife and son.",
32246,dātar 1,dātā,AN5.37,,sukhassa <b>dātā</b> medhāvī sukhaṃ so adhigacchati,"The intelligent man [who is] a giver of happiness, acquires happiness.",
34001,deseti 1,deseti,VIN PAT PC 7,yes,"bhikkhu mātugāmassa uttarichappañcavācāhi dhammaṃ <b>deseti</b>, aññatra viññunā purisaviggahena, pācittiyaṃ.","[If any] monk expounds Dhamma to a woman by means of more than five or six sentences, except [together] with a knowledgeable male, [it is] an offence requiring confession.",
34038,devatā,devatā,SN1.1,,sā <b>devatā</b> bhagavantaṃ etad'avoca,The deity said this to the Blessed One.,
34631,dhamma 1.06,dhammā,AN8.79,,ime bhikkhave <b>dhammā</b> sekhassa bhikkhuno aparihānāya saṃvattanti.,"These things, o monks, are conducive for the non-decline of a monk who is a trainee.",
32695,divā,divā,SN1.47 (simpl),,"ye dadanti upassayaṃ, tesaṃ <b>divā</b> ca ratto ca, sadā puññaṃ pavaḍḍhati","Whoever gives a dwelling, merit increases for them all the time, day and night.",
32696,divā ca ratto ca,divā ca ratto ca,SN1.47 (simpl),,"ye dadanti upassayaṃ, tesaṃ <b>divā ca ratto ca</b>, sadā puññaṃ pavaḍḍhati","Whoever gives a dwelling, merit increases for them all the time, day and night.",
34459,dve 1,dve,DN16.26 (simpl),,"<b>dve</b> kassakā bhātaro hatā, cattāro ca balibaddā","Two farmers, [who are] brothers, and four oxen were killed.",
18217,ehi tvaṃ,ehi tvaṃ,MN107,,<b>ehi tvaṃ</b> bhikkhu bhojane mattaññū hohi,"Come, monk, be moderate with regard to food!",
17683,ekavihārī,ekavihārī,SN21.10 (simpl),,"sabb'ābhibhuṃ sabbaviduṃ sumedhaṃ, tam naraṃ <b>ekavihārī</b> iti ahaṃ brūmi","[One who is] all-conquering, all-knowing, wise, that man I call thus, “one who dwells alone.”",
18006,esa,esa,DN11.6,,<b>esa</b> bhagavato sāvakasaṅgho,This community of the Blessed One's disciples is worthy of offerings.,
17855,etad,etad',DN16.7,,atha kho āyasmato ānandassa <b>etad'</b>ahosi,"Then, this [thought] occurred to Venerable Ananda",
17869,etadahosi,etad'ahosi,DN16.7,,atha kho āyasmato ānandassa <b>etad'ahosi</b>,"Then, this [thought] occurred to Venerable Ananda",
17868,etadavoca,etad'avoca,SN1.1,,sā devatā bhagavantaṃ <b>etad'avoca</b>,The deity said this to the Blessed One.,
24506,garu 3,garu,AN10.71,,thero bhikkhu sabrahmacārīnaṃ piyo ca hoti manāpo ca <b>garu</b> ca bhāvanīyo ca.,"An elder monk is dear to [his] fellow monks and pleasant, respected, and worthy of esteem [by them].",
24508,garu 5,garu,AN7.23 (simpl) ,,bhikkhū there sakkarissanti <b>garuṃ</b> karissanti mānessanti pūjessanti  ,"Monks will honor, respect, revere, [and] venerate the elders.",
24555,garuṃ karoti,garuṃ karissanti,AN7.23 (simpl),,bhikkhū there sakkarissanti <b>garuṃ karissanti</b> mānessanti pūjessanti,"Monks will honor, respect, revere, [and] venerate the elders.",
70790,hata 2,hatā,DN16.26 (simpl),,"dve kassakā bhātaro <b>hatā</b>, cattāro ca balibaddā","Two farmers, [who are] brothers, and four oxen were killed.",
